time,stamp_secs,stamp_nsecs,level,name,msg,file,function,line
2024/12/16 19:11:32.938505794,1734343892,935486935,20,rosbag2_recorder,Event publisher thread: Starting,./src/rosbag2_transport/recorder.cpp,event_publisher_thread_main,215
2024/12/16 19:11:32.938521342,1734343892,936129748,20,rosbag2_recorder,Subscribed to topic '/shami/keydown',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:32.938533798,1734343892,936629764,20,rosbag2_recorder,Subscribed to topic '/shami/joy',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:32.938543936,1734343892,937085722,20,rosbag2_recorder,Subscribed to topic '/rosout',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:32.938553628,1734343892,937277218,20,rosbag2_recorder,Subscribed to topic '/shami/keyup',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:32.938563234,1734343892,937633264,20,rosbag2_recorder,Subscribed to topic '/parameter_events',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:32.938572725,1734343892,937848820,20,rosbag2_recorder,Subscribed to topic '/leg3/joint_set',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:32.938582243,1734343892,938187654,20,rosbag2_recorder,Subscribed to topic '/leg3/set_ik_target',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:32.938591616,1734343892,938390260,20,rosbag2_recorder,Subscribed to topic '/events/write_split',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:32.938600944,1734343892,938425095,20,rosbag2_recorder,Recording...,./src/rosbag2_transport/recorder.cpp,record,209
2024/12/16 19:11:33.40680106,1734343893,40613494,20,rosbag2_recorder,Subscribed to topic '/leg3/tip_pos',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.41399116,1734343893,41315148,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link6_joint_velocity_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.41832045,1734343893,41773412,20,rosbag2_recorder,Subscribed to topic '/leg3/rviz_spy',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.42288317,1734343893,42211107,20,rosbag2_recorder,Subscribed to topic '/leg3/roll',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.42749753,1734343893,42682446,20,rosbag2_recorder,Subscribed to topic '/leg3/joint_commands',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.43159558,1734343893,43110866,20,rosbag2_recorder,Subscribed to topic '/leg3/continuous_joint_read',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.43588875,1734343893,43540944,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link8_joint_velocity_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.44030806,1734343893,43969573,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link7_joint_velocity_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.44436676,1734343893,44405751,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link7_joint_position_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.44876916,1734343893,44855483,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link6_joint_position_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.45294087,1734343893,45272616,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link1_joint_position_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.45760357,1734343893,45701259,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link9_joint_velocity_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.46579717,1734343893,46553546,20,rosbag2_recorder,Subscribed to topic '/tf_static',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.46864294,1734343893,46841048,20,rosbag2_recorder,Subscribed to topic '/leg3/joint_states',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.47171260,1734343893,47145796,20,rosbag2_recorder,Subscribed to topic '/tf',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.52494647,1734343893,52462954,20,rosbag2_recorder,Subscribed to topic '/leg3/robot_description',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.52791275,1734343893,52767040,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link4_joint_velocity_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.53046523,1734343893,53018460,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link3_joint_velocity_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.53285845,1734343893,53260765,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link8_joint_position_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.53541105,1734343893,53512698,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link5_joint_velocity_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.55845627,1734343893,55818715,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link4_joint_position_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.56090597,1734343893,56061748,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link2_joint_position_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.56327656,1734343893,56299228,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link5_joint_position_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.56578504,1734343893,56549714,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link3_joint_position_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.56821758,1734343893,56790840,20,rosbag2_recorder,Subscribed to topic '/leg3/joint_read',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.57054326,1734343893,57024845,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link1_joint_velocity_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.57300857,1734343893,57268205,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link9_joint_position_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.62330258,1734343893,62299584,20,rosbag2_recorder,Subscribed to topic '/leg3/canopen_motor/base_link2_joint_velocity_controller/command',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2024/12/16 19:11:33.427638286,1734343893,427541490,30,rosbag2_recorder,"New publisher discovered on topic '/rosout', offering incompatible QoS. No messages will be sent to it. Last incompatible policy: DURABILITY_QOS_POLICY",./src/rclcpp/subscription_base.cpp,default_incompatible_qos_callback,272
2024/12/16 19:11:33.465608150,1734343893,465502247,30,rosbag2_recorder,"A new publisher for subscribed topic /rosout was found offering RMW_QOS_POLICY_DURABILITY_VOLATILE, but rosbag2 already subscribed requesting RMW_QOS_POLICY_DURABILITY_TRANSIENT_LOCAL. Messages from this new publisher will not be recorded.",./src/rosbag2_transport/recorder.cpp,warn_if_new_qos_for_subscribed_topic,447
2024/12/16 19:11:52.47120500,1734343912,46932345,20,keygait_node,"[K] Mode Select Mode (Keyboard): J -> Joint, L -> Leg, K -> IK2D -> Dragon, T -> Tricycle",/home/shami/Moonbot-Motion-Stack/build/easy_robot_control/easy_robot_control/EliaNode.py,pinfo,568
2024/12/16 19:11:52.47432177,1734343912,47253334,20,keygait_node,"[K] Mode Select Mode (Joystick): X -> Joint, □ -> Leg, ∆ -> Dragon, ○ -> IK2",/home/shami/Moonbot-Motion-Stack/build/easy_robot_control/easy_robot_control/EliaNode.py,pinfo,568
2024/12/16 19:11:52.566747499,1734343912,566628223,20,keygait_node,[K] IK2 Mode: stick L and deep triggers: xyz movements ; stick R and small triggers: rotations ; x: absolute mode ; o: ee relative mode,/home/shami/Moonbot-Motion-Stack/build/easy_robot_control/easy_robot_control/EliaNode.py,pinfo,568
